繁體中文,简体中文,英文,註解
常數宣告,常量宣告,constant declarations,
常數運算式,常量表达式,constant expression,
常數傳用,常量传用,constant propagation,
常數,常量,constant,相對於 variable
條件約束,条件约束,constraint,
建構,建构,construction,
語法結構,语法结构,construction,
建構式,构造函数,constructor,
建構函式,建构函数,constructor,
顧問,谘询,consult,
顧問公司,谘询公司,consultant company,
被收納的控制項,被收纳的控件,contained control,
容器應用程式,容器应用程序,container application,
容器程式,容器程序,container program,
容器,容器,container,
貨櫃,集装箱,container,
包含類型,包含类型,containing type,
內含無效的字元,内嵌无效的字符,contains invalid characters,
內容幫助,内容帮助,context help,
內容識別碼,内容标识码,context identifier,
快顯功能表,快捷菜单,context menu,
快顯功能表,快显菜单,context menus,右鍵功能表(ka)
內容編號,内容编号,context number,
內容運算子,内容运算符,context operator,
內容字串,内容字符串,context string,
上下文,上下文,context,
對比,对比度,contrast,
控制項程式庫,控件库,control Library,
控制項精靈,控件向导,control Wizards,
控制列,控制列,control bar,
控制項類別,控件类,control class,
控制項容器,控件容器,control container,
控制裝置,控制设备,control device,
控制識別碼,控制标识码,control identifier,
控制台,控制面板,control panel,
控制項專案,控件项目,control project,
控制項特性,控件特性,control property,
控制項模板,控件模板,control templates,
控制項變數,控件变量,control variable,
控制項視覺外觀,控件视觉外观,control visual appearance,
控制項,控件,control,
控制項工具列,控件工具栏,controls toolbar,
控制項,控件,controls,
傳統記憶體,常规内存,convential memory,
轉換函式,转换函数,conversion function,
轉換巨集,转换宏,conversion macros,
轉換,转换,conversion,
轉換物件,转换对象,convert object,
cookie,cookie,cookie,不翻譯
座標空間,座标空间,coordinate space,
複製建構函式,复制建构函数,copy constructor,
複製磁碟,复制磁盘,copy disk,
複製傳用,复制传用,copy propagation,
複本,复本,copy,
版權,版权,copyright,
角控點,角控点,corner handle,
相互關聯 ID,相互关联 ID,correlation ID,
中文化軟體聯盟,中文化软体联盟,cpatch,國內業餘中文化作者組成之組織。不定期推出常見軟體的中文化。詳見：www.cpatch.org
當機,死机,crash machine,
爬行,爬行,crawl,
建立新的文件,创建新文档,create new document,
建立儲存體,开辟存储区,create storage elements,
建立字幕,创建字幕,create title,
建立日期,创建时间,creating date,
開發小組,开发小组,credits,
關鍵區段,关键区段,critical section,
交互編輯,交互编辑,cross compilation,
十字型游標,十字光标,cross hair,
跨線程,跨线程,cross-thread,
交叉資料表查詢,交叉数据表查询,crosstab query,
加密,加密,crypto,
貨幣,货币,currency,
目前的路徑,当前的路径,current Path,
目前的設定值,当前的设置数值,current Setting,
目前文件,当前文档,current document,
目前圖示,当前图标,current icon,
目前位置,当前位置,current position,
目前,当前,current,
游標,光标,cursor,
自訂控制項,自定义控件,custom control,
自訂介面,自定义介面,custom interface,
自訂放大,自定义放大,custom magnification,
自訂資源模板,自定义资源模板,custom resource template,
自訂資源,自定义资源,custom resource,
自訂,自定义,custom,
自訂工具箱,自定义工具箱,customize toolbox,
自訂,自定义,customize,
自訂類別,自定义类,customized class,
自訂文件,自定义文件,customized document,
循環冗餘核對 (CRC),循环冗余核对 (CRC),cyclic Redundancy Check,
循環參考,循环参考,cyclic reference,
資料存取物件 (DAO),数据访问对象 (DAO),dao,
儀表板,仪表板,dashboard,
資料存取物件 (DAO),数据访问对象 (DAO),data Access Object,
資料類別,数据类,data Class,
資料控制項,数据控件,data Control,
資料成員,数据成员,data Member,
資料物件精靈,数据对象向导,data Object Wizard,
資料報表設計工具,数据报表设计工具,data Report designer,
資料來源定位器,数据源定位器,data Source Locator,
資料來源,数据源,data Source,
資料類型,数据类型,data Type,
資料檢視,数据查看,data View,
資料配接器,数据配接器,data adapter,
資料繫結代理程式,数据绑定代理程序,data binding agents,
資料繫結,数据绑定,data binding,
資料中斷點,数据断开点,data breakpoint,
資料命令,数据命令,data command,
資料連接,数据连接,data connection,
資料宣告,数据声明,data declaration,
資料輸入頁,数据键入页,data entry page,
資料欄位,数据区域,data field,
資料檔案,数据文件,data file,
資料格,数据格,data grid,
資料句柄,数据句柄,data handle,
資料連結,数据链接,data link,
資料成員字串,数据成员字符串,data member string,
資料點,数据点,data point,
資料提供者,数据供应商,data provider,
資料速率,数据传输速度,data rate,
資料傳輸率,数据传输率,data rate,
資料區段,数据区段,data segment,
資料來源名稱,数据源名称,data source name,
資料來源層,数据源层,data source tier,
資料存放區,数据存放区,data store,
資料串流,数据流,data stream,
資料結構,数据结构,data structure,
資料符號,数据符号,data symbol,
資料資料表,数据数据表,data table,
資料傳輸物件,数据传输对象,data transfer object,
資料,数据,data,
資料繫結,数据系结,data-bound,
資料定義查詢,数据定义查询,data-definition query,
資料庫圖表,数据库图表,database Diagrams,
資料庫註冊精靈,数据库注册向导,database Registration wizard,
資料庫分割精靈,数据库拆分向导,database Splitter Wizard,
資料庫等級,数据库类,database class,
資料庫表單,数据库表单,database form,
資料庫管理系統,数据库管理系统,database management system,
資料庫物件,数据库对象,database object,
資料庫專案,数据库项目,database project,
資料庫角色,数据库角色,database role,
資料庫結構描述,数据库结构描述,database schema,
資料庫模板,数据库模板,database template,
資料庫使用者,数据库用户,database user,
資料庫,数据库,database,
資料包通訊端,数据包套接字,datagram socket,
資料包,数据包,datagram,
資料集,数据集,dataset,
資料工作表,数据工作表,datasheet,
日期時間選擇器,日期时间选择器,date and time picker,
日期資料類型,日期数据类型,date data type,
日期格式,日期格式,date fomat,
日期,日期,date,
資料庫專案,数据库项目,db project,
DBO,DBO,dbo,
DDE 對談資訊,DDE 对谈信息,dde conversation information,
DDE 對談,DDE 对谈,dde conversation,
DDE 連結,DDE 链接,dde link,
DDE 訊息,DDE 消息,dde message,
DDE 方法,DDE 方法,dde method,
DDE 作業,DDE 作業,dde operation,
DDE 回應,DDE 响应,dde response,
DDI 初始,DDI 初始,ddi initiate,
資料定義語言,数据定义语言,ddl,
無作用程式碼,无作用程序代码,dead code,
廢鍵,废键,dead key,
無作用儲存體,无作用保存体,dead store,
鎖死,锁死,deadlock,
偵錯堆積,调试堆积,debug heap,
偵錯記憶體分派器,调试内存分派器,debug memory allocator,
偵錯監視器,调试监视器,debug monitor,
Debug 物件,Debug 对象,debug object,
偵錯暫存器,调试暂存器,debug register,
偵錯終端機,调试终端,debug terminal,
偵錯版本,调试版本,debug version,
偵錯工具,调试工具,debugger,
偵錯整合,调试集成,debugging Integration,
偵錯事件,调试事件,debugging event,
偵錯資訊,调试信息,debugging information,
10 進位,10 进制,decimal,
宣告陳述式,声明陈述式,declaration statement,
宣告類型,声明类型,declaration type,
宣告,声明,declarations,
宣告子,声明符,declarator,
解碼,解码,decode,
解碼器,解码器,decoder,
裝飾名稱,装饰名称,decorated name,
遞減,降序,decrement,
解密,解密,decrypt,
推導,推导,deduction,
深層複製組態,深层复制配置,deep copy configuration,
深層複製,深层复制,deep copy,
預設存取權限,默认访问权限,default access permissions,
預設引數,默认参量,default argument,
預設建構函式,默认建构函数,default constructor,
預設雜湊程式碼提供者,默认杂凑代码供应商,default hash code provider,
預設訊息處理,默认消息处理,default message processing,
預設物件處理常式,默认对象处理常式,default object handler,
預設安全性,默认安全性,default security,
預設值,默认值,default value,
預設視窗程序,默认窗口程序,default window procedure,
預設,默认,default,
連按兩下滑鼠的預設,双击的默认,defaults for Double-clicking,
定義,定义,definition,
變形項,变形项,deformatter,
重組狀態,碎片整理状态,defrag status,
清理磁碟,磁盘清理程序,defrag,
立即重組,开始整理,defragment now,
延遲載入,延迟载入,delay-loaded,
延遲演算上色,延迟渲染,delayed rendering,
傳送延後,发送延迟,delayed send,
委派類型,委派类型,delegate type,
委派,委派,delegate,
刪除查詢,删除查询,delete query,
分隔符號,分隔符号,delimiter,
相依檔案,相依文件,dependency File,
相依性,相依性,dependency,
相依檔案,相依文件,dependent file,
相依物件,相依对象,dependent object,
相關專案,相关项目,dependent project,
部署子精靈,部署子向导,deployment subwizard,
部署精靈,部署向导,deployment wizard,
解參考運算子,解参考算符,dereference operator,
解參考,解参考,dereference,
取值運算子,取值运算符,dereferencing operator,
取值,取值,dereferencing,
子類別,子类,derived class,
衍生類別,派生类,derived class,
衍生類別,衍生类,derived class,
衍生類型,衍生类型,derived type,
子代視窗,子代窗口,descendant window,
子代,子代,descendant,
遞減,降序,descending,
遞減排序,递减排序,descending,
描述區塊,描述列块,description block,
描述,描述,description,
描述項,描述项,descriptor,
還原序列化,还原序列化,deserialization,
設計項目,设计项目,design Element,
設計主複本,设计主复本,design Master,
設計介面,设计介面,design Surface,
設計模式,设计模式,design mode,
設計樣式,设计模式,design pattern,
設計時期,设计时期,design time,
僅限設計時期,仅限设计时期,design-Time-Only,
設計時期控制項 (DTC),设计时期控件 (DTC),design-time control,
設計時期物件,设计时期对象,design-time object,
指示項,指示项,designator,
設計工具主應用程式,设计工具主应用程序,designer host,
設計工具,设计工具,designer,
桌面管理介面,桌面管理介面,desktop Management Interface,
桌上型電腦,台式计算机,desktop computer,
桌面視窗,桌面窗口,desktop window,
桌上型,台式机,desktop,
桌面,桌面,desktop,
目的語系,目标语系,destination Language,
